Name,Type,Latitude,Longitude
수산회관,음식점,37.5144828,126.9370209
금학횟집,음식점,37.5144828,126.9370209
잠꾸러기,음식점,37.507693,126.9598413
큐피드,음식점,37.4951429,126.9564305
엘(L),음식점,37.4875831,126.9815254
연경,음식점,37.4966448,126.9279416
서울가든,음식점,37.5128078,126.9355244
전주집,음식점,37.513077,126.9433311
꿀꾸랄라,음식점,37.5112288,126.9447212
청운음식점,음식점,37.4949321,126.9566438
향백,음식점,37.496613,126.9317894
처갓집양념치킨 장승배기점,음식점,37.5048806,126.9408543
성림식당,음식점,37.5080646,126.9403207
맷돌이야기,음식점,37.4856301,126.9812568
장충족발,음식점,37.5121757,126.9441016
동영,음식점,37.4805007,126.9806707
앵커맨,음식점,37.4790594,126.9801905
인디안,음식점,37.5133748,126.9423778
연래춘,음식점,37.4949321,126.9566438
경월매운탕,음식점,37.4904377,126.9085716
태원,음식점,37.5083955,126.93204
장원,음식점,37.5127577,126.9357694
미성양꼬치,음식점,37.5046861,126.9383643
우림,음식점,37.4793815,126.9802404
미락식당,음식점,37.5118218,126.9448396
큰집갈비생고기,음식점,37.4953662,126.9535606
전주식당,음식점,37.4994918,126.9320877
김밥사랑(노량진점),음식점,37.5131457,126.9380262
부자국밥,음식점,37.4885497,126.9076617
진미닭갈비,음식점,37.5043206,126.9397029
명동호프치킨,음식점,37.5072918,126.9594069
그내주(그날따라 내맘대로 주는대로),음식점,37.5085388,126.9611506
경산식당,음식점,37.5040192,126.9398554
마포숯불갈비,음식점,37.4992738,126.9285102
요거프레소 중앙대점,음식점,37.5070325,126.9595337
성대낙지,음식점,37.4986309,126.9288564
영동국수,음식점,37.5122364,126.9465689
곽반장,음식점,37.4854986,126.9811648
병천순대,음식점,37.5116586,126.9393865
백제231,음식점,37.4836693,126.9736501
스시990,음식점,37.4876097,126.9812582
달비슬,음식점,37.5078918,126.9637022
까똔,음식점,37.4967194,126.9232375
이수곱창,음식점,37.4868065,126.980905
체리,음식점,37.4803737,126.9806758
브라운필,음식점,37.50293,126.9484335
포마토김밥,음식점,37.4986686,126.9283504
남도미가,음식점,37.5130074,126.9381775
봉구비어노량진2호점,음식점,37.51242,126.9372865
추억의통치킨,음식점,37.4797927,126.9809042
참풍년집 정육식당(1),음식점,37.5050619,126.9387718
서호식당,음식점,37.5047261,126.9400071
불난떡볶이 노량진점,음식점,37.51242,126.9372865
밀숲노량진역점,음식점,37.5112976,126.9448605
더샵,음식점,37.4981802,126.9277421
김밥타운,음식점,37.5130858,126.9436103
원조꼬끼오숯불통닭,음식점,37.5063979,126.9616508
늘보리(장승배기점),음식점,37.5038152,126.9380079
김가네김밥(노량진점),음식점,37.512672,126.9382535
파라다이스,음식점,37.4946581,126.9585723
싸움의고수,음식점,37.4946658,126.9565887
레드발룬(Red Bulloon),음식점,37.5075834,126.9600871
동해안직판장,음식점,37.5090758,126.9631916
원조흥부왕족발,음식점,37.5050619,126.9387718
머치모아,음식점,37.4835905,126.9726697
갈채,음식점,37.4834048,126.9730725
동화장,음식점,37.4991976,126.9276631
마당쇠,음식점,37.5123836,126.9374533
대왕대포,음식점,37.5060602,126.9616792
물망초포차,음식점,37.5026819,126.9365311
화르르,음식점,37.5085388,126.9611506
맛의 명가,음식점,37.4853441,126.9684428
페리카나치킨,음식점,37.508213,126.9392927
BBQ치킨흑석점,음식점,37.5063365,126.9616403
웅이네봉평메밀촌,음식점,37.4980952,126.9271157
둘둘치킨,음식점,37.4840264,126.972017
황금오리,음식점,37.4903507,126.9085186
청기와숯불갈비,음식점,37.5124155,126.9513058
고향삼계탕,음식점,37.4947387,126.9567844
원조소금구이,음식점,37.5078369,126.9638183
59피자,음식점,37.5052142,126.9464244
칸꼬시,음식점,37.4990068,126.9331576
단비분식,음식점,37.5076312,126.9593807
투다리,음식점,37.4770759,126.9778602
주식회사 대중식당,음식점,37.5074448,126.9593945
카페커피상상,음식점,37.5119089,126.9451008
백채신대방삼거리(백채김치찌개),음식점,37.498552,126.9290035
요거프레소 노량진점,음식점,37.5129396,126.9453962
오이시,음식점,37.5128611,126.9449777
조인행닭갈비,음식점,37.4988457,126.9250297
이가초밥,음식점,37.4986309,126.9288564
이서방양념치킨,음식점,37.5119231,126.9542027
페리카나,음식점,37.5060215,126.9616854
한솔쌈밥시골보리밥,음식점,37.4993477,126.9316928
아트거라지 (Art garage),음식점,37.5001556,126.9309597
독도참치,음식점,37.4991442,126.9279274
삼삼가마솥돈까스,음식점,37.5114781,126.9444893
고바우,음식점,37.512569,126.9434491
원조 남원추어탕,음식점,37.5038263,126.9384432
우리분식,음식점,37.5123517,126.9451443
야채 콩나물 그리고 삼겹살,음식점,37.4979098,126.9222916
일진아구찜,음식점,37.4989037,126.9251646
차돌이,음식점,37.5062537,126.9569443
가야,음식점,37.5045849,126.9507322
탕마루,음식점,37.4884091,126.9814893
두리김밥,음식점,37.4890493,126.9807038
러브이즈,음식점,37.4974525,126.9281812
장시국밥,음식점,37.4900944,126.9088672
써브웨이중앙대점,음식점,37.5069892,126.9584078
프린스치킨,음식점,37.4961222,126.9242661
맨날술이야,음식점,37.5046461,126.9368199
로렌드 치킨호프,음식점,37.5028082,126.9343431
할매 순대국,음식점,37.4875841,126.9121942
스카이피자,음식점,37.5095695,126.9370374
밀밭칼국수,음식점,37.4977089,126.9248378
흑석골,음식점,37.5095469,126.9609229
도스마스 (서울중앙대점),음식점,37.5074402,126.9590734
페리카나,음식점,37.4867762,126.967557
큰손 갈비,음식점,37.5116895,126.9396236
고기먹으러,음식점,37.5069732,126.9596545
올레,음식점,37.4946123,126.9570621
남원골 추어탕,음식점,37.5124487,126.9371696
국시명가,음식점,37.5129573,126.9434425
델리,음식점,37.5117527,126.9455724
정직한김치찌개,음식점,37.5087662,126.9618996
산정,음식점,37.5059359,126.9616821
포대포소금구이,음식점,37.5099335,126.9399403
개구쟁이호프,음식점,37.4809297,126.9721465
대추나무식당,음식점,37.4776617,126.9807929
고바우식당,음식점,37.4875699,126.9087954
대방싸리집,음식점,37.5137193,126.9340839
옥문,음식점,37.50267,126.9359036
서일식당,음식점,37.4980298,126.9207304
까페 플로르,음식점,37.512569,126.9434491
미각,음식점,37.5131514,126.9451998
다성반점,음식점,37.4980427,126.953085
박서방네,음식점,37.5088806,126.9611843
코스코(돈더구어),음식점,37.4957403,126.953379
상도정,음식점,37.5036113,126.9491613
노들회관,음식점,37.5124253,126.9519018
돌쇠와석쇠,음식점,37.4856644,126.9687041
제이엠,음식점,37.495241,126.9558049
엄마손김밥,음식점,37.5126893,126.9357715
도스마스 (서울중앙대점),음식점,37.5074402,126.9590734
용산순대국,음식점,37.4877723,126.9813035
방배양곱창,음식점,37.4840494,126.9801883
장수식당,음식점,37.5036906,126.936579
우리집,음식점,37.484986,126.9796068
뉴탈렌트,음식점,37.488059,126.9073138
백채사당점,음식점,37.4799639,126.9810059
페리카나치킨,음식점,37.4973419,126.9438163
신박사팥죽,음식점,37.4787693,126.979775
맥주창고 오라고 노량진점,음식점,37.5133884,126.9434941
삐삐네분식,음식점,37.4983838,126.9210091
처가집양념통닭,음식점,37.5082735,126.9324003
별법 동태탕.찜,음식점,37.5045802,126.939809
토스트굽는사람들,음식점,37.4987566,126.952111
산노미아,음식점,37.4841996,126.9815182
상도감자탕 족발,음식점,37.5015119,126.9340743
향원칼국수,음식점,37.4797083,126.980833
크레이지 팜(Crazy Farm),음식점,37.4868236,126.9812112
배부장찌개,음식점,37.4797083,126.980833
별장식당,음식점,37.5144568,126.9404464
콤떡(성대시장점),음식점,37.4989614,126.9289331
28청춘호프포차,음식점,37.4839673,126.9708794
블루힐,음식점,37.4952178,126.9559387
천년약속,음식점,37.5132357,126.9396243
풀향기 칼국수,음식점,37.501258,126.9328983
은주식당,음식점,37.4877343,126.9128445
홍천닭갈비,음식점,37.5075774,126.9602206
수연갈비,음식점,37.4872766,126.9805639
케리홈치킨,음식점,37.504375,126.9394387
올드팬,음식점,37.5073217,126.958816
고향식당,음식점,37.4776365,126.9782991
24시속풀이해장국,음식점,37.5067721,126.9314761
형제식당,음식점,37.5042654,126.94562
옛골식당,음식점,37.5084682,126.9324066
생고기제작소,음식점,37.4869872,126.9803406
신소몰이,음식점,37.4877666,126.9811758
진국설렁탕,음식점,37.5092051,126.9398917
제주왕뚜껑생고기,음식점,37.5109156,126.9322258
실비촌,음식점,37.5080962,126.9262539
부대통령뚝배기,음식점,37.5123476,126.9443888
거북정식당,음식점,37.4841063,126.9791608
엉터리양평해장국&감자탕&곱창전골 흑석점,음식점,37.5077653,126.9636633
라화쿵부,음식점,37.5073348,126.9589765
대추나무집,음식점,37.5126021,126.9377002
원할머니보쌈 이수역점,음식점,37.4867604,126.9805766
이수푸드(ISU FOOD),음식점,37.4782473,126.9804752
강원도감자탕.쌈밥,음식점,37.4799632,126.9806079
맛기행 사계절,음식점,37.477447,126.980771
옥동,음식점,37.4830009,126.9752207
상도치킨,음식점,37.5046428,126.9511635
태능솔밭갈비,음식점,37.50291,126.9488183
하우돈,음식점,37.4984546,126.9207752
서일순대국,음식점,37.4980298,126.9207304
골목식당,음식점,37.4879525,126.9803716
양평감자탕,음식점,37.508553,126.962355
돈가 & 국시,음식점,37.5022445,126.9351813
송이족발,음식점,37.4837059,126.9740193
흥부네,음식점,37.5122151,126.9321507
광주식당,음식점,37.5129896,126.9354087
엄마밥상,음식점,37.5127891,126.9434743
들에,음식점,37.4978557,126.9282308
술먹는하마,음식점,37.4985263,126.9210241
이도령양념통닭,음식점,37.5120939,126.9342009
훌랄라치킨,음식점,37.5126699,126.9369244
삼호,음식점,37.4906999,126.9231054
60계치킨(노량진점),음식점,37.5118333,126.9456142
히로,음식점,37.4853318,126.9692017
아는 포차,음식점,37.4797927,126.9809042
양푼이김치찌개,음식점,37.5074402,126.9590734
보성청국장,음식점,37.4826526,126.9813165
3036COFFEE,음식점,37.5122917,126.9378483
교촌치킨,음식점,37.5078982,126.9573336
노가리호프,음식점,37.4975509,126.934972
파도,음식점,37.4988317,126.9278493
용구비어,음식점,37.4950975,126.9567014
사계진미,음식점,37.4773722,126.9809721
두루찌개3대,음식점,37.5126731,126.9361778
한앤둘,음식점,37.4946624,126.95437
고향일식,음식점,37.50826,126.9404141
블랙앤화이트,음식점,37.4980298,126.9207304
福 복 양꼬치 샤브샤브,음식점,37.5073348,126.9589765
애니,음식점,37.5088434,126.9612561
국풍,음식점,37.5126095,126.9360226
순이네식당,음식점,37.5129896,126.9354087
구름산추어탕,음식점,37.4778275,126.9805815
페리카나치킨,음식점,37.4792126,126.9800878
정원조 닭한마리,음식점,37.4869793,126.9805657
토담골,음식점,37.4789161,126.9808087
수정횟집,음식점,37.5081244,126.9263096
현미고기집,음식점,37.4902378,126.9085915
태능숯불갈비,음식점,37.50803,126.9386812
명가왕족발보쌈,음식점,37.5117065,126.9450369
황토가마솥설렁탕,음식점,37.488325,126.981452
융선,음식점,37.4773338,126.9779878
김가보쌈,음식점,37.4986209,126.921025
시골밥상,음식점,37.500527,126.9535651
돈천동식당,음식점,37.5120291,126.9455481
라멘스패키지,음식점,37.5073217,126.958816
호우양꼬치,음식점,37.4992723,126.9273556
신나족발,음식점,37.5122151,126.9321507
달기랑오리랑,음식점,37.4852814,126.9681847
미스터 짱닭,음식점,37.4905081,126.9082958
황토숯불구이,음식점,37.5118985,126.9339119
산수정,음식점,37.4782591,126.9803755
한마루가든,음식점,37.5080962,126.9262539
오센,음식점,37.4871471,126.980698
종로할머니칼국수 이수점,음식점,37.4858302,126.9811682
나드리,음식점,37.5036906,126.936579
